"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,2,2,67,1,100,10,101,15700,"2","0015700"
2018,201801,1,1,53,1,100,10,101,136000,"1","0136000"
2018,201801,2,2,55,8,890,6,63,12000,"2","0012000"
2018,201801,1,1,70,1,100,7,71,118000,"1","0118000"
2018,201801,2,2,69,1,100,10,101,0,"2","0000000"
2018,201801,1,1,52,2,200,7,71,90000,"1","0090000"
2018,201801,1,1,69,1,100,7,71,36650,"1","0036650"
2018,201801,1,1,89,1,100,7,71,76000,"1","0076000"
2018,201801,2,2,86,1,100,6,65,34700,"2","0034700"
2018,201801,1,1,63,2,200,7,71,65000,"1","0065000"
2018,201801,1,2,72,1,100,10,101,26200,"2","0026200"
2018,201801,2,2,83,1,100,6,63,9120,"2","0009120"
2018,201801,1,2,44,1,100,6,65,23000,"2","0023000"
2018,201801,2,2,23,1,100,6,61,8800,"2","0008800"
2018,201801,3,2,14,1,100,3,30,9999999,"2","BBBBBBB"
2018,201801,4,2,14,1,100,3,30,9999999,"2","BBBBBBB"
2018,201801,1,1,71,1,100,10,101,87810,"1","0087810"
2018,201801,2,2,75,1,100,10,101,18900,"2","0018900"
2018,201801,1,1,54,1,100,10,101,299420,"1","0299420"
2018,201801,2,2,43,1,100,11,114,0,"2","0000000"
2018,201801,3,2,16,1,100,3,30,0,"2","0000000"
2018,201801,4,2,13,1,100,2,25,9999999,"2","BBBBBBB"
2018,201801,1,2,55,1,100,10,101,22000,"2","0022000"
2018,201801,2,1,57,8,812,10,101,45000,"1","0045000"
2018,201801,1,1,45,1,100,11,115,384100,"1","0384100"
2018,201801,2,2,45,1,100,10,101,200000,"2","0200000"
2018,201801,3,2,17,1,100,5,50,0,"2","0000000"
2018,201801,4,1,2,1,100,0,1,9999999,"1","BBBBBBB"
2018,201801,1,2,37,1,100,7,71,19000,"2","0019000"
2018,201801,2,1,39,1,100,6,63,19000,"1","0019000"
2018,201801,3,2,17,1,100,5,50,3000,"2","0003000"
2018,201801,4,2,11,1,100,2,23,9999999,"2","BBBBBBB"
2018,201801,1,1,25,1,100,10,101,43000,"1","0043000"
2018,201801,1,2,75,1,100,6,63,22510,"2","0022510"
2018,201801,2,2,4,1,100,0,2,9999999,"2","BBBBBBB"
2018,201801,1,1,37,1,100,10,101,64000,"1","0064000"
2018,201801,2,2,31,1,100,10,101,37500,"2","0037500"
2018,201801,1,2,80,1,100,11,114,66700,"2","0066700"
2018,201801,2,1,81,1,100,11,114,76300,"1","0076300"
2018,201801,1,1,87,1,100,7,71,26300,"1","0026300"
2018,201801,2,1,60,1,100,6,65,92000,"1","0092000"
2018,201801,1,1,35,1,100,6,64,4200,"1","0004200"
2018,201801,1,1,35,1,100,6,64,4200,"1","0004200"
2018,201801,1,2,91,1,100,7,71,17300,"2","0017300"
2018,201801,1,2,21,1,100,6,65,28000,"2","0028000"
2018,201801,1,1,47,1,100,10,101,257100,"1","0257100"
2018,201801,2,2,45,6,600,8,81,91100,"2","0091100"
2018,201801,3,2,14,6,600,2,26,9999999,"2","BBBBBBB"
2018,201801,1,2,38,8,802,5,50,38500,"2","0038500"
2018,201801,2,1,43,1,100,6,63,32400,"1","0032400"
2018,201801,1,2,53,1,100,11,114,111000,"2","0111000"
2018,201801,2,1,17,1,100,5,50,0,"1","0000000"
2018,201801,1,2,50,3,361,6,65,21000,"2","0021000"
2018,201801,1,1,59,1,100,6,63,44100,"1","0044100"
2018,201801,2,2,52,1,100,6,65,45200,"2","0045200"
2018,201801,3,2,11,3,324,1,17,9999999,"2","BBBBBBB"
2018,201801,4,2,6,3,324,1,12,9999999,"2","BBBBBBB"
